method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3427,0.852875,0.5177916666666667,0.3895,0.7996662710698315,0.8008,0.7925487305806482,artifacts/yloc/ls100/seed3427/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3428,0.852875,0.5077499999999999,0.379,0.7980665892672859,0.7988,0.7925487305806482,artifacts/yloc/ls100/seed3428/metrics.json
YLOC-PAL-acoustic,LS-100,paper-reimplementation,3429,0.852875,0.5130416666666666,0.3685,0.7986693670450636,0.7992,0.7925487305806482,artifacts/yloc/ls100/seed3429/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3420,0.9985,0.6653333333333333,0.636,0.9528870399036807,0.968,0.9129978672011512,artifacts/yloc/ns100/seed3420/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3421,0.9985,0.59775,0.626,0.9476396886824905,0.9560000000000001,0.8921940846952411,artifacts/yloc/ns100/seed3421/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3422,0.9985,0.5969166666666667,0.626,0.946740565875473,0.9388,0.8831521739130435,artifacts/yloc/ns100/seed3422/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3423,0.9985,0.5962916666666667,0.6205,0.9465488992088062,0.9556,0.901177536231884,artifacts/yloc/ns100/seed3423/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3424,0.9985,0.5951666666666666,0.618,0.9463683436532508,0.9452,0.8873631668208449,artifacts/yloc/ns100/seed3424/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3425,0.9985,0.5924166666666666,0.619,0.9459446594427244,0.9540000000000001,0.8921940846952411,artifacts/yloc/ns100/seed3425/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3426,0.9985,0.5973333333333333,0.625,0.9475633728930168,0.9556,0.8921940846952411,artifacts/yloc/ns100/seed3426/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3427,0.9985,0.5806250000000001,0.6055,0.944186326109391,0.944,0.8873631668208449,artifacts/yloc/ns100/seed3427/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3428,0.9985,0.5982083333333333,0.6315,0.9469907120743034,0.9540000000000001,0.8921940846952411,artifacts/yloc/ns100/seed3428/metrics.json
YLOC-PAL-acoustic,NS-100,paper-reimplementation,3429,0.9985,0.5965416666666666,0.6215,0.9465988992088064,0.9548,0.8965881642512078,artifacts/yloc/ns100/seed3429/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3420,0.5756521739130435,0.05925,0.05,0.16228757282741424,0.37999999999999995,0.14285714285714285,artifacts/happy/fsc89/seed3420/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3421,0.5756521739130435,0.05433333333333333,0.05,0.16134679125785475,0.3872,0.14285714285714285,artifacts/happy/fsc89/seed3421/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3422,0.5756521739130435,0.05441666666666667,0.05,0.16102803517956057,0.4008,0.14285714285714285,artifacts/happy/fsc89/seed3422/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3423,0.5756521739130435,0.05425000000000001,0.05,0.15987373519312434,0.3868,0.14285714285714285,artifacts/happy/fsc89/seed3423/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3424,0.5756521739130435,0.05358333333333333,0.05,0.16111720345795336,0.39840000000000003,0.14285714285714285,artifacts/happy/fsc89/seed3424/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3425,0.5756521739130435,0.059229166666666666,0.04825,0.16127941680454658,0.3864,0.14285714285714285,artifacts/happy/fsc89/seed3425/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3426,0.5756521739130435,0.05591666666666667,0.059,0.16218274416094783,0.38880000000000003,0.14285714285714285,artifacts/happy/fsc89/seed3426/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3427,0.5756521739130435,0.05441666666666667,0.05,0.16112766148745208,0.39480000000000004,0.14285714285714285,artifacts/happy/fsc89/seed3427/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3428,0.5756521739130435,0.053979166666666675,0.04825,0.1624763829154652,0.3847999999999999,0.14285714285714285,artifacts/happy/fsc89/seed3428/metrics.json
Happy-HAProto-acoustic,FSC-89,official-component-reimplementation,3429,0.5756521739130435,0.05658333333333333,0.059,0.16409830473366063,0.4056,0.14285714285714285,artifacts/happy/fsc89/seed3429/metrics.json
